-0.547 (+/-0.270) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 512}
-0.547 (+/-0.274) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 512}
-0.547 (+/-0.274) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 512}
-0.543 (+/-0.259) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 512}
-0.544 (+/-0.269) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 512}
-0.543 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 512}
-0.544 (+/-0.269) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 512}
-0.541 (+/-0.259) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 512}
-0.624 (+/-0.450) for {'max_features': 'auto', 'criterion': 'entropy', 'n_esti ators': 100, 'max_depth': 1024}
-0.562 (+/-0.319) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 1024}
-0.550 (+/-0.286) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 1024}
-0.549 (+/-0.285) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 1024}
-0.549 (+/-0.284) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 1024}
-0.544 (+/-0.273) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 1024}
-0.545 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 1024}
-0.545 (+/-0.277) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 1024}
-0.541 (+/-0.268) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 1024}
-0.544 (+/-0.271) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 1024}
-0.611 (+/-0.437) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 1024}
-0.558 (+/-0.317) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 1024}
-0.548 (+/-0.277) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 1024}
-0.547 (+/-0.282) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 1024}
-0.548 (+/-0.286) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 1024}
-0.545 (+/-0.273) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 1024}
-0.546 (+/-0.274) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 1024}
-0.542 (+/-0.269) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 1024}
-0.542 (+/-0.268) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 1024}
-0.541 (+/-0.268) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 1024}
-0.611 (+/-0.405) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 1024}
-0.551 (+/-0.280) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 1024}
-0.551 (+/-0.283) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 1024}
-0.546 (+/-0.268) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 1024}
-0.545 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 1024}
-0.544 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 1024}
-0.544 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 1024}
-0.542 (+/-0.263) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 1024}
-0.541 (+/-0.260) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 1024}
-0.542 (+/-0.264) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 1024}
-0.608 (+/-0.442) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 100, 'max_depth': None}
-0.561 (+/-0.295) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 300, 'max_depth': None}
-0.546 (+/-0.266) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 500, 'max_depth': None}
-0.543 (+/-0.265) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 700, 'max_depth': None}
-0.541 (+/-0.256) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 900, 'max_depth': None}
-0.543 (+/-0.262) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 1100, 'max_depth': None}
-0.544 (+/-0.269) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 1300, 'max_depth': None}
-0.542 (+/-0.259) for {'max_features': 'auto', 'criterion': 'gini', 'n_estimators': 1500, 'max_depth': None}
