RUN,BATCH_SIZE,LR,val_loss,val_accuracy,val_AUC,accuracy,NEURONS,AUC,loss,EPOCHS
9,512,0.003,0.5029391995762299,0.77470165,0.77043974,0.78068864,[1024; 1024; 1024; 1024; 1024],0.73773307,0.4766233610873533,400
9,512,0.003,0.4716981419515496,0.7976134,0.7793823,0.780987,[1024; 1024; 1024; 1024; 1024],0.7301933,0.48100975566486004,450
9,512,0.003,0.548534524711049,0.7782816,0.589051,0.77078235,[1024; 1024; 1024; 1024; 1024],0.63516873,0.6004232950310736,500
9,512,0.003,0.5479935259124828,0.7627685,0.5001564,0.75466967,[1024; 1024; 1024; 1024; 1024],0.50104326,0.5573888149588434,550
9,512,0.003,0.5478550206220805,0.7627685,0.5010951,0.75461,[1024; 1024; 1024; 1024; 1024],0.5033382,0.5601376297401771,600
10,512,0.0001,0.6240418102974539,0.75179,0.56588554,0.6495196,[1024; 1024; 1024; 1024; 1024],0.48998347,1.1964254622784665,0
10,512,0.0001,0.5620662057883415,0.773747,0.7499928,0.7645163,[1024; 1024; 1024; 1024; 1024],0.69600594,0.5119414601443655,50
10,512,0.0001,0.5365455184460824,0.7930788,0.7889687,0.7886853,[1024; 1024; 1024; 1024; 1024],0.7591466,0.47154697075111807,100
10,512,0.0001,0.49517504790517763,0.8057279,0.79915744,0.80420125,[1024; 1024; 1024; 1024; 1024],0.79523027,0.4423526015654878,150
10,512,0.0001,0.46684299929329776,0.8102625,0.8038207,0.8163156,[1024; 1024; 1024; 1024; 1024],0.8111346,0.4240421332752832,200
10,512,0.0001,0.4427697410162423,0.8078759,0.80965114,0.82705736,[1024; 1024; 1024; 1024; 1024],0.83337444,0.4034312424938171,250
10,512,0.0001,0.428650932792832,0.8183771,0.8135937,0.8417378,[1024; 1024; 1024; 1024; 1024],0.8561189,0.3761701809055959,300
10,512,0.0001,0.4291431127271675,0.8152745,0.8131334,0.84615386,[1024; 1024; 1024; 1024; 1024],0.86927444,0.3614963007181707,350
10,512,0.0001,0.4265196050550602,0.8257757,0.81842685,0.8579698,[1024; 1024; 1024; 1024; 1024],0.8839814,0.3409539898629048,400
10,512,0.0001,0.43426955598350925,0.8229117,0.8149468,0.8681745,[1024; 1024; 1024; 1024; 1024],0.89981496,0.31879864143906955,450
