mean_fit_time,mean_score_time,mean_test_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
1412.6692331790923,0.16399173736572265,-706.4133827299717,8,5,0.1,poly,"{'degree': 5, 'kernel': 'poly', 'C': 8, 'gamma': 0.1}",61,-1782.6940614726939,-438.11428729948295,-295.5203219423444,-424.29102618950014,-588.4985025575006,92.05451167366108,0.0011708671452740715,546.817884428296
1426.674880218506,0.16425771713256837,-703.5592659981446,8,5,0.01,poly,"{'degree': 5, 'kernel': 'poly', 'C': 8, 'gamma': 0.01}",49,-1774.4702085623287,-435.06018736606154,-295.7365854077534,-427.88776692761513,-581.7075791445961,195.07144755197953,0.0007276267144257777,543.771257704706
1411.521973466873,0.16532354354858397,-704.7768482947972,8,5,0.001,poly,"{'degree': 5, 'kernel': 'poly', 'C': 8, 'gamma': 0.001}",57,-1775.587085561062,-436.3739702942178,-294.4431811398826,-425.64657821538793,-588.899699585994,129.9180999403524,0.0009550371731713646,544.1910914577281
20.087497186660766,0.16452689170837403,-200.02815604875323,8,5,0.0001,poly,"{'degree': 5, 'kernel': 'poly', 'C': 8, 'gamma': 0.0001}",15,-437.201456160813,-140.37714592691398,-118.84838028415082,-148.88227805845153,-154.18172995011602,4.70730133533967,0.0004844775912011017,119.3586613831527
1318.6406883716584,0.16540179252624512,-1564.2160549960229,8,6,auto,poly,"{'degree': 6, 'kernel': 'poly', 'C': 8, 'gamma': 'auto'}",65,-4532.533379531082,-942.2838341072329,-488.29189212315396,-787.963442568192,-1061.8753504188512,97.92520908221081,0.000535761435645539,1498.5474003604204
1323.107142305374,0.16444840431213378,-1573.6331703744675,8,6,0.1,poly,"{'degree': 6, 'kernel': 'poly', 'C': 8, 'gamma': 0.1}",77,-4561.585928781487,-953.1686702414197,-488.8121097919606,-789.8406840176528,-1066.5722870989753,119.69582567597259,0.0007769697177278669,1508.5980681928095
1322.548948431015,0.16487479209899902,-1567.9190982053967,8,6,0.01,poly,"{'degree': 6, 'kernel': 'poly', 'C': 8, 'gamma': 0.01}",69,-4544.8703330379485,-943.0870858591833,-487.5663855729726,-791.5477041672802,-1064.3679516092361,142.3029193568464,0.0007639925364605394,1502.9453397204654
1339.696100950241,0.16516585350036622,-1568.236098367029,8,6,0.001,poly,"{'degree': 6, 'kernel': 'poly', 'C': 8, 'gamma': 0.001}",73,-4537.354965792166,-948.1680720496399,-486.89776572357323,-789.3038914637458,-1071.3212245664977,116.02973032368207,0.0005870969941120324,1499.4063210151835
95.57660717964173,0.16313524246215821,-343.4214362920233,8,6,0.0001,poly,"{'degree': 6, 'kernel': 'poly', 'C': 8, 'gamma': 0.0001}",31,-853.8508882317958,-222.70256811499576,-145.6420867980067,-214.17074518419724,-279.34245627649165,23.17064459489993,0.0010779640328277332,259.06359373449607
2403.731411123276,0.14838500022888185,-260.40415035074835,16,3,auto,poly,"{'degree': 3, 'kernel': 'poly', 'C': 16, 'gamma': 'auto'}",18,-462.17074907852026,-186.2474001431922,-166.7786309700718,-203.61548642264157,-282.6556999373222,114.82421527744856,0.010919188054839591,108.41967924462419
2359.13681640625,0.14662232398986816,-260.91857056085007,16,3,0.1,poly,"{'degree': 3, 'kernel': 'poly', 'C': 16, 'gamma': 0.1}",21,-459.8962092314051,-187.69816367456394,-166.2002779976803,-203.66663775449214,-286.58641993057296,112.63429123955655,0.00822926276416984,107.64592928305821
2445.145539474487,0.14702587127685546,-262.30745831381785,16,3,0.01,poly,"{'degree': 3, 'kernel': 'poly', 'C': 16, 'gamma': 0.01}",25,-465.7668926263579,-186.10480372172935,-168.25596768753778,-205.91856406490288,-284.93364036085563,144.09305086217424,0.00784762618010837,109.38057869585693
1636.0448442459106,0.16300530433654786,-164.38568675958865,16,3,0.001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 16, 'gamma': 0.001}",12,-253.51086851097642,-120.35313912585909,-114.87977892613951,-146.47458479926632,-186.465883855561,102.62683705181965,0.0008361730996055931,51.2950184948539
1.995369815826416,0.1629955291748047,-106.1235466077114,16,3,0.0001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 16, 'gamma': 0.0001}",4,-162.9561265382045,-83.45318200444432,-87.0073216990983,-112.73388210621209,-84.31151499215815,0.14193197671428076,0.00045593865002332995,30.44696460508625
1741.201623916626,0.16397972106933595,-386.2126957672127,16,4,auto,poly,"{'degree': 4, 'kernel': 'poly', 'C': 16, 'gamma': 'auto'}",39,-816.621171946298,-255.32875382509752,-205.81437336621812,-271.09506917077186,-381.02490922307805,151.6663567319749,0.0006854708113743309,222.9690250594621
1713.351077079773,0.16111278533935547,-386.0874112594477,16,4,0.1,poly,"{'degree': 4, 'kernel': 'poly', 'C': 16, 'gamma': 0.1}",35,-823.3239637766707,-256.1430781837456,-205.56426594273418,-270.3687624471166,-373.8390775839105,156.5199150755695,0.005405067739966005,225.64354281061
1716.9495262145997,0.1561288833618164,-388.4008956206953,16,4,0.01,poly,"{'degree': 4, 'kernel': 'poly', 'C': 16, 'gamma': 0.01}",45,-821.6705633582019,-256.994401350968,-206.14104148757784,-271.4196496799818,-384.59178204116483,96.19242748889559,0.009020984080310912,224.62596378347004
